"metabolomics_id","sample_type","compound","value_mm"
"AML_007_44","blood","indole-3-acetamide","0.0"
"AML_007_44","blood","indole-3-acetate","0.00388"
"AML_007_44","blood","indole-3-acrylate","0.0"
"AML_007_44","blood","indole-3-carboxaldehyde","0.00041"
"AML_007_44","blood","indole-3-lactate","0.00858"
"AML_007_44","blood","indole-3-propionate","0.0"
"AML_007_44","blood","tryptophan","0.03939"
"AML_007_45","stool","tryptophan","1.00922"
"AML_007_57","stool","indole-3-acetamide","0.0"
"AML_007_57","stool","indole-3-acetate","0.00403"
"AML_007_57","stool","indole-3-acrylate","0.0"
"AML_007_57","stool","indole-3-carboxaldehyde","0.0007"
"AML_007_57","stool","indole-3-lactate","0.00755"
"AML_007_57","stool","indole-3-propionate","0.00331"
"AML_007_57","stool","tryptophan","0.02993"
"AML_007_58","blood","indole-3-acetamide","0.0"
"AML_007_58","blood","indole-3-acetate","0.00191"
"AML_007_58","blood","indole-3-acrylate","0.0"
"AML_007_58","blood","indole-3-carboxaldehyde","0.00006"
"AML_007_58","blood","indole-3-lactate","0.0009"
"AML_007_58","blood","indole-3-propionate","0.00038"
"AML_007_58","blood","tryptophan","0.05628"
"AML_007_59","blood","indole-3-acetamide","0.0"
"AML_007_59","blood","indole-3-acetate","0.00045"
"AML_007_59","blood","indole-3-acrylate","0.0"
"AML_007_59","blood","indole-3-carboxaldehyde","0.00004"
"AML_007_59","blood","indole-3-lactate","0.00098"
"AML_007_59","blood","indole-3-propionate","0.0"
"AML_007_59","blood","tryptophan","0.03039"
"AML_007_60","stool","indole-3-acetamide","0.0"
"AML_007_60","stool","indole-3-acetate","0.0"
"AML_007_60","stool","indole-3-acrylate","0.0"
"AML_007_60","stool","indole-3-carboxaldehyde","0.0002"
"AML_007_60","stool","indole-3-lactate","0.00067"
"AML_007_60","stool","indole-3-propionate","0.0"
"AML_007_60","stool","tryptophan","1.28099"
"AML_013_05","blood","indole-3-acetamide","0.0"
"AML_013_05","blood","indole-3-acetate","0.00062"
"AML_013_05","blood","indole-3-acrylate","0.0"
"AML_013_05","blood","indole-3-carboxaldehyde","0.00004"
"AML_013_05","blood","indole-3-lactate","0.00071"
"AML_013_05","blood","indole-3-propionate","0.00031"
"AML_013_05","blood","tryptophan","0.04314"
"AML_013_06","stool","indole-3-acetamide","0.0"
"AML_013_06","stool","indole-3-acetate","0.02923"
"AML_013_06","stool","indole-3-acrylate","0.0"
"AML_013_06","stool","indole-3-carboxaldehyde","0.00067"
"AML_013_06","stool","indole-3-lactate","0.00429"
"AML_013_06","stool","indole-3-propionate","0.00551"
"AML_013_06","stool","tryptophan","0.16837"
"AML_013_31","blood","indole-3-acetamide","0.0"
"AML_013_31","blood","indole-3-acetate","0.00064"
"AML_013_31","blood","indole-3-acrylate","0.0"
"AML_013_31","blood","indole-3-carboxaldehyde","0.00005"
"AML_013_31","blood","indole-3-lactate","0.00067"
"AML_013_31","blood","indole-3-propionate","0.0"
"AML_013_31","blood","tryptophan","0.03286"
"AML_013_33","stool","indole-3-acetamide","0.0"
"AML_013_33","stool","indole-3-acetate","0.00251"
"AML_013_33","stool","indole-3-acrylate","0.0"
"AML_013_33","stool","indole-3-carboxaldehyde","0.00012"
"AML_013_33","stool","indole-3-lactate","0.00193"
"AML_013_33","stool","indole-3-propionate","0.0"
"AML_013_33","stool","tryptophan","0.14015"
"AML_014_21","blood","indole-3-acetamide","0.0"
"AML_014_21","blood","indole-3-acetate","0.00056"
"AML_014_21","blood","indole-3-acrylate","0.0"
"AML_014_21","blood","indole-3-carboxaldehyde","0.00007"
"AML_014_21","blood","indole-3-lactate","0.00055"
"AML_014_21","blood","indole-3-propionate","0.0"
"AML_014_21","blood","tryptophan","0.0346"
"AML_014_22","stool","indole-3-acetamide","0.0"
"AML_014_22","stool","indole-3-acetate","0.0"
"AML_014_22","stool","indole-3-acrylate","0.0"
"AML_014_22","stool","indole-3-carboxaldehyde","0.00024"
"AML_014_22","stool","indole-3-lactate","0.00051"
"AML_014_22","stool","indole-3-propionate","0.0"
"AML_014_22","stool","tryptophan","0.31551"
"AML_014_42","blood","indole-3-acetamide","0.0"
"AML_014_42","blood","indole-3-acetate","0.0008"
"AML_014_42","blood","indole-3-acrylate","0.0"
"AML_014_42","blood","indole-3-carboxaldehyde","0.00005"
"AML_014_42","blood","indole-3-lactate","0.00048"
"AML_014_42","blood","indole-3-propionate","0.00026"
"AML_014_42","blood","tryptophan","0.0442"
"AML_014_45","blood","indole-3-acetamide","0.0"
"AML_014_45","blood","indole-3-acetate","0.0004"
"AML_014_45","blood","indole-3-acrylate","0.0"
"AML_014_45","blood","indole-3-carboxaldehyde","0.00006"
"AML_014_45","blood","indole-3-lactate","0.0004"
"AML_014_45","blood","indole-3-propionate","0.00011"
"AML_014_45","blood","tryptophan","0.02556"
"AML_014_46","stool","indole-3-acetamide","0.0"
"AML_014_46","stool","indole-3-acetate","0.00118"
"AML_014_46","stool","indole-3-acrylate","0.0"
"AML_014_46","stool","indole-3-carboxaldehyde","0.00049"
"AML_014_46","stool","indole-3-lactate","0.01472"
"AML_014_46","stool","indole-3-propionate","0.0014"
"AML_014_46","stool","tryptophan","0.01586"
